CVE_MUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Total,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
002,Azcapotzalco,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
003,Coyoacán,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
004,Cuajimalpa,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3
005,Gustavo A. Madero,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2
006,Iztacalco,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.1,0.3,0.2,0.2,0.4
007,Iztapalapa,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2
008,Magdalena Contreras,0.2,0.4,0.1,0.3,0.3,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2
009,Milpa Alta,0.4,0.3,0.1,0.5,0.2,0.2,0.2,0.2,0.3,0.3,0.0,0.1,0.2,0.3,0.3,0.3,0.1
010,Alvaro Obregón,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3
011,Tláhuac,0.2,0.2,0.1,0.3,0.1,0.2,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2
012,Tlalpan,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
013,Xochimilco,0.3,0.3,0.3,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.4
014,Benito Juárez,0.2,0.4,0.3,0.3,0.2,0.3,0.4,0.2,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.1
015,Cuauhtémoc,0.2,0.3,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.2,0.2,0.2,0.3
016,Miguel Hidalgo,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.4,0.3,0.3,0.3,0.1,0.2,0.2,0.2
017,Venustiano Carranza,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.4,0.2,0.3
