CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
01,001,0239,General José María Morelos y Pavón (Cañada Honda)
05,035,0001,Torreón
07,027,0622,Jardínes del Grijalva
08,019,0001,Chihuahua
08,045,0015,Lázaro Cárdenas
09,009,0011,San Antonio Tecómitl
09,011,0026,Santa Catarina Yecahuitzotl
09,012,0001,Tlalpan
09,013,0001,Xochimilco
09,013,0001,Xochimilco
11,011,0054,Tierra Fría
12,001,0001,Acapulco de Juárez
12,017,0001,Cocula
12,075,0001,Zumpango del Río
15,013,0001,Ciudad López Mateos
16,020,0001,Cuitzeo del Porvenir
19,026,0001,Guadalupe
20,427,0010,Rincón Viejo
21,041,0008,Sanctorum
25,001,0136,El Estero (Juan José Ríos)
25,001,0156,Gustavo Díaz Ordaz (El Carrizo)
25,002,0031,Colonia Independencia (Chinitos)
25,002,0032,Colonia Agrícola México (Palmitas)
25,012,0348,Villa Unión
29,010,0001,Santa Ana Chiautempan
29,033,0008,Ocotlán
30,087,0001,Xalapa-Enríquez
31,011,0001,Celestún
31,041,0001,Kanasín
31,041,0001,Kanasín
32,017,0001,Guadalupe
32,056,0001,Zacatecas
