Delegacion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5
Azcapotzalco,0.8,0.7,0.6,0.6,0.7,0.5,0.6,1.0,0.4,0.9,0.5,0.6,0.8,0.4,0.3,0.3,0.3
Coyoacán,0.4,0.5,0.5,0.2,0.6,0.5,0.4,0.6,0.7,0.6,0.6,0.5,0.3,0.5,0.3,0.4,0.4
Cuajimalpa,0.8,0.7,1.0,0.4,0.6,0.5,0.8,0.8,0.5,0.8,0.5,0.7,0.8,0.6,0.3,0.6,0.6
Gustavo A. Madero,0.6,0.8,0.6,0.6,0.5,0.7,0.5,0.5,0.5,0.7, 0.6,0.6,0.4,0.6,0.6,0.4,0.5
Iztacalco,0.7,0.5,0.7,0.5,0.5,0.6,0.5,0.7,0.6,0.9,0.8,0.5,0.5,0.6,0.2,0.7,0.1
Iztapalapa,0.6,0.6,0.6,0.5,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5
Magdalena Contreras,0.2,0.5,0.5,0.6,0.7,0.6,0.3,0.5,0.3,0.8,0.5,0.5,0.3,0.6,0.1,0.3,0.4
Milpa Alta,0.9,0.7,0.6,0.3,0.4,0.6,0.4,0.7,0.5,0.7,0.2,0.5,0.3,0.7,0.5,0.1,0.3                                                                                 
Alvaro Obregón,0.6,0.8,0.6,0.8,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.5,0.4,0.6,0.3,0.4
Tláhuac,0.5,0.7,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.5,0.5,0.3,0.5,0.8,0.4,0.6
Tlalpan,0.7,0.5,0.6,0.7,0.7,0.6,0.8,0.7,0.5,0.5,0.3,0.4,0.4,0.5,0.5,0.4,0.3
Xochimilco,0.6,0.4,0.7,0.8,0.8,0.7,0.4,0.7,0.5,0.4,0.6,0.5,0.6,0.3,0.4,0.5,0.7
Benito Juárez,0.3,0.3,0.5,0.4,0.3,0.5,0.9,0.7,0.8,0.9,0.4,0.4,0.2,0.2,0.3,0.5,0.5
Cuauhtémoc,0.5,0.7,0.6,0.7,0.6,0.6,0.7,0.9,0.5,0.8,0.4,0.4,0.7,0.5,0.5,0.7,0.5
Miguel Hidalgo,0.9,0.7,0.5,0.2,0.6,0.6,0.4,0.6,0.6,0.5,0.3,0.1,0.5,0.3,0.4,0.4,0.4
Venustiano Carranza,0.4,0.6,0.6,0.7,0.4,0.5,0.7,0.7,0.6,0.5,0.7,0.8,0.8,0.5,0.4,0.3,0.4
